index,text,score,correct spelling,percent,novel word spelled,novel words,bigrams
0,"bit; 'in fact, there's
nothing written on the outside.' he unfolded the paper as he spoke, and
added",1,18,1.0,"(0, [])","(0, [])","dict_items([(('bit;', ""'in""), 1), ((""'in"", 'fact,'), 1), (('fact,', ""there's""), 1), ((""there's"", 'nothing'), 1), (('nothing', 'written'), 1), (('written', 'on'), 1), (('on', 'the'), 1), (('the', ""outside.'""), 1), ((""outside.'"", 'he'), 1), (('he', 'unfolded'), 1), (('unfolded', 'the'), 1), (('the', 'paper'), 1), (('paper', 'as'), 1), (('as', 'he'), 1), (('he', 'spoke,'), 1), (('spoke,', 'and'), 1), (('and', 'added'), 1)])"
1000," to the thing soue time the had gandene of the table, but she had to suinl it was going to say it th",0,20,0.87,"(1, ['th'])","(4, ['soue', 'gandene', 'suinl', 'th'])","dict_items([(('to', 'the'), 1), (('the', 'thing'), 1), (('thing', 'soue'), 1), (('soue', 'time'), 1), (('time', 'the'), 1), (('the', 'had'), 1), (('had', 'gandene'), 1), (('gandene', 'of'), 1), (('of', 'the'), 1), (('the', 'table,'), 1), (('table,', 'but'), 1), (('but', 'she'), 1), (('she', 'had'), 1), (('had', 'to'), 1), (('to', 'suinl'), 1), (('suinl', 'it'), 1), (('it', 'was'), 1), (('was', 'going'), 1), (('going', 'to'), 1), (('to', 'say'), 1), (('say', 'it'), 1), (('it', 'th'), 1)])"
1,"not
like the look of the thing at all. 'but perhaps it was only sobbing,'
she thought, and looked in",1,20,1.0,"(0, [])","(0, [])","dict_items([(('not', 'like'), 1), (('like', 'the'), 1), (('the', 'look'), 1), (('look', 'of'), 1), (('of', 'the'), 1), (('the', 'thing'), 1), (('thing', 'at'), 1), (('at', 'all.'), 1), (('all.', ""'but""), 1), ((""'but"", 'perhaps'), 1), (('perhaps', 'it'), 1), (('it', 'was'), 1), (('was', 'only'), 1), (('only', ""sobbing,'""), 1), ((""sobbing,'"", 'she'), 1), (('she', 'thought,'), 1), (('thought,', 'and'), 1), (('and', 'looked'), 1), (('looked', 'in'), 1)])"
1001," a lou, and said, 'i don't know what i can tee things--

'i don't know what i can't tee to the thanl",0,21,0.95,"(7, ['lou,', ""'i"", 'i', 'tee', ""'i"", 'i', 'tee'])","(8, ['lou,', ""'i"", 'i', 'tee', ""'i"", 'i', 'tee', 'thanl'])","dict_items([(('a', 'lou,'), 1), (('lou,', 'and'), 1), (('and', 'said,'), 1), (('said,', ""'i""), 1), ((""'i"", ""don't""), 2), ((""don't"", 'know'), 2), (('know', 'what'), 2), (('what', 'i'), 2), (('i', 'can'), 1), (('can', 'tee'), 1), (('tee', 'things--'), 1), (('things--', ""'i""), 1), (('i', ""can't""), 1), ((""can't"", 'tee'), 1), (('tee', 'to'), 1), (('to', 'the'), 1), (('the', 'thanl'), 1)])"
2,"tenberg-tm work, and (c) any defect you cause.


section  2.  information about the mission of proje",1,13,0.81,"(1, ['section'])","(3, ['tenberg-tm', 'section', 'proje'])","dict_items([(('tenberg-tm', 'work,'), 1), (('work,', 'and'), 1), (('and', '(c)'), 1), (('(c)', 'any'), 1), (('any', 'defect'), 1), (('defect', 'you'), 1), (('you', 'cause.'), 1), (('cause.', 'section'), 1), (('section', '2.'), 1), (('2.', 'information'), 1), (('information', 'about'), 1), (('about', 'the'), 1), (('the', 'mission'), 1), (('mission', 'of'), 1), (('of', 'proje'), 1)])"
1002,ct gutenberg-tm electronic works in a refund of the project gutenberg literary archive foundation ar,0,13,0.87,"(6, ['ct', 'project', 'literary', 'archive', 'foundation', 'ar'])","(8, ['ct', 'gutenberg-tm', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'ar'])","dict_items([(('ct', 'gutenberg-tm'), 1), (('gutenberg-tm', 'electronic'), 1), (('electronic', 'works'), 1), (('works', 'in'), 1), (('in', 'a'), 1), (('a', 'refund'), 1), (('refund', 'of'), 1), (('of', 'the'), 1), (('the', 'project'), 1), (('project', 'gutenberg'), 1), (('gutenberg', 'literary'), 1), (('literary', 'archive'), 1), (('archive', 'foundation'), 1), (('foundation', 'ar'), 1)])"
3,"s shoulder with some curiosity. 'what a
funny watch!' she remarked. 'it tells the day of the month, ",1,18,1.0,"(1, ['s'])","(1, ['s'])","dict_items([(('s', 'shoulder'), 1), (('shoulder', 'with'), 1), (('with', 'some'), 1), (('some', 'curiosity.'), 1), (('curiosity.', ""'what""), 1), ((""'what"", 'a'), 1), (('a', 'funny'), 1), (('funny', ""watch!'""), 1), ((""watch!'"", 'she'), 1), (('she', 'remarked.'), 1), (('remarked.', ""'it""), 1), ((""'it"", 'tells'), 1), (('tells', 'the'), 1), (('the', 'day'), 1), (('day', 'of'), 1), (('of', 'the'), 1), (('the', 'month,'), 1)])"
1003,i dan't get the tort of the same time the doomouse shanl tee the door of the way of the words was sh,0,20,0.87,"(3, ['i', 'tort', 'tee'])","(6, ['i', ""dan't"", 'tort', 'doomouse', 'shanl', 'tee'])","dict_items([(('i', ""dan't""), 1), ((""dan't"", 'get'), 1), (('get', 'the'), 1), (('the', 'tort'), 1), (('tort', 'of'), 1), (('of', 'the'), 3), (('the', 'same'), 1), (('same', 'time'), 1), (('time', 'the'), 1), (('the', 'doomouse'), 1), (('doomouse', 'shanl'), 1), (('shanl', 'tee'), 1), (('tee', 'the'), 1), (('the', 'door'), 1), (('door', 'of'), 1), (('the', 'way'), 1), (('way', 'of'), 1), (('the', 'words'), 1), (('words', 'was'), 1), (('was', 'sh'), 1)])"
4,"any footsteps,
and alice looked round, eager to see the queen.

first came ten soldiers carrying clu",1,16,0.94,"(2, ['alice', 'queen.'])","(3, ['alice', 'queen.', 'clu'])","dict_items([(('any', 'footsteps,'), 1), (('footsteps,', 'and'), 1), (('and', 'alice'), 1), (('alice', 'looked'), 1), (('looked', 'round,'), 1), (('round,', 'eager'), 1), (('eager', 'to'), 1), (('to', 'see'), 1), (('see', 'the'), 1), (('the', 'queen.'), 1), (('queen.', 'first'), 1), (('first', 'came'), 1), (('came', 'ten'), 1), (('ten', 'soldiers'), 1), (('soldiers', 'carrying'), 1), (('carrying', 'clu'), 1)])"
1004,"ngethen the had frown of the sabbit say in the door, and the white rabbit blowered to she had got to",0,18,0.86,"(1, ['frown'])","(4, ['ngethen', 'frown', 'sabbit', 'blowered'])","dict_items([(('ngethen', 'the'), 1), (('the', 'had'), 1), (('had', 'frown'), 1), (('frown', 'of'), 1), (('of', 'the'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'had'), 1), (('had', 'got'), 1), (('got', 'to'), 1)])"
