index,text,score,correct spelling,percent,novel word spelled,novel words,bigrams
0,"elt that it ought to be treated with respect.

'cheshire puss,' she began, rather timidly, as she di",1,18,1.0,"(4, ['elt', ""'cheshire"", ""puss,'"", 'di'])","(4, ['elt', ""'cheshire"", ""puss,'"", 'di'])","dict_items([(('elt', 'that'), 1), (('that', 'it'), 1), (('it', 'ought'), 1), (('ought', 'to'), 1), (('to', 'be'), 1), (('be', 'treated'), 1), (('treated', 'with'), 1), (('with', 'respect.'), 1), (('respect.', ""'cheshire""), 1), ((""'cheshire"", ""puss,'""), 1), ((""puss,'"", 'she'), 1), (('she', 'began,'), 1), (('began,', 'rather'), 1), (('rather', 'timidly,'), 1), (('timidly,', 'as'), 1), (('as', 'she'), 1), (('she', 'di'), 1)])"
1000,"d not leke the danker were all offended to her the table, but she was all the white rabbit blowered to she had got to see if he had to see if he was the poor little thing was seered and alice sound her ar she court, 
'i don't know what i have to be a little birler,' the mock turtle seplied in an off",0,61,0.94,"(9, ['d', 'danker', 'alice', 'ar', ""'i"", 'i', ""birler,'"", 'mock', 'turtle'])","(13, ['d', 'leke', 'danker', 'blowered', 'seered', 'alice', 'ar', ""'i"", 'i', ""birler,'"", 'mock', 'turtle', 'seplied'])","dict_items([(('d', 'not'), 1), (('not', 'leke'), 1), (('leke', 'the'), 1), (('the', 'danker'), 1), (('danker', 'were'), 1), (('were', 'all'), 1), (('all', 'offended'), 1), (('offended', 'to'), 1), (('to', 'her'), 1), (('her', 'the'), 1), (('the', 'table,'), 1), (('table,', 'but'), 1), (('but', 'she'), 1), (('she', 'was'), 1), (('was', 'all'), 1), (('all', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'had'), 1), (('had', 'got'), 1), (('got', 'to'), 1), (('to', 'see'), 2), (('see', 'if'), 2), (('if', 'he'), 2), (('he', 'had'), 1), (('had', 'to'), 1), (('he', 'was'), 1), (('was', 'the'), 1), (('the', 'poor'), 1), (('poor', 'little'), 1), (('little', 'thing'), 1), (('thing', 'was'), 1), (('was', 'seered'), 1), (('seered', 'and'), 1), (('and', 'alice'), 1), (('alice', 'sound'), 1), (('sound', 'her'), 1), (('her', 'ar'), 1), (('ar', 'she'), 1), (('she', 'court,'), 1), (('court,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'have'), 1), (('have', 'to'), 1), (('to', 'be'), 1), (('be', 'a'), 1), (('a', 'little'), 1), (('little', ""birler,'""), 1), ((""birler,'"", 'the'), 1), (('the', 'mock'), 1), (('mock', 'turtle'), 1), (('turtle', 'seplied'), 1), (('seplied', 'in'), 1), (('in', 'an'), 1), (('an', 'off'), 1)])"
1,"s follows
  when the sands are all dry, he is gay as a lark,
  and will talk in contemptuous tones o",1,21,1.0,"(2, ['s', 'o'])","(2, ['s', 'o'])","dict_items([(('s', 'follows'), 1), (('follows', 'when'), 1), (('when', 'the'), 1), (('the', 'sands'), 1), (('sands', 'are'), 1), (('are', 'all'), 1), (('all', 'dry,'), 1), (('dry,', 'he'), 1), (('he', 'is'), 1), (('is', 'gay'), 1), (('gay', 'as'), 1), (('as', 'a'), 1), (('a', 'lark,'), 1), (('lark,', 'and'), 1), (('and', 'will'), 1), (('will', 'talk'), 1), (('talk', 'in'), 1), (('in', 'contemptuous'), 1), (('contemptuous', 'tones'), 1), (('tones', 'o'), 1)])"
1001,"f the sabbit- with a serpente little thmee way off a louse in the door, and the white rabbit blowered to she had got to see if he had to see if he was the poor little thing was seered and alice sound her ar she court, 
'i don't know what i have to be a little birler,' the mock turtle seplied in an o",0,59,0.91,"(10, ['f', 'louse', 'alice', 'ar', ""'i"", 'i', ""birler,'"", 'mock', 'turtle', 'o'])","(16, ['f', 'sabbit-', 'serpente', 'thmee', 'louse', 'blowered', 'seered', 'alice', 'ar', ""'i"", 'i', ""birler,'"", 'mock', 'turtle', 'seplied', 'o'])","dict_items([(('f', 'the'), 1), (('the', 'sabbit-'), 1), (('sabbit-', 'with'), 1), (('with', 'a'), 1), (('a', 'serpente'), 1), (('serpente', 'little'), 1), (('little', 'thmee'), 1), (('thmee', 'way'), 1), (('way', 'off'), 1), (('off', 'a'), 1), (('a', 'louse'), 1), (('louse', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('she', 'had'), 1), (('had', 'got'), 1), (('got', 'to'), 1), (('to', 'see'), 2), (('see', 'if'), 2), (('if', 'he'), 2), (('he', 'had'), 1), (('had', 'to'), 1), (('he', 'was'), 1), (('was', 'the'), 1), (('the', 'poor'), 1), (('poor', 'little'), 1), (('little', 'thing'), 1), (('thing', 'was'), 1), (('was', 'seered'), 1), (('seered', 'and'), 1), (('and', 'alice'), 1), (('alice', 'sound'), 1), (('sound', 'her'), 1), (('her', 'ar'), 1), (('ar', 'she'), 1), (('she', 'court,'), 1), (('court,', ""'i""), 1), ((""'i"", ""don't""), 1), ((""don't"", 'know'), 1), (('know', 'what'), 1), (('what', 'i'), 1), (('i', 'have'), 1), (('have', 'to'), 1), (('to', 'be'), 1), (('be', 'a'), 1), (('a', 'little'), 1), (('little', ""birler,'""), 1), ((""birler,'"", 'the'), 1), (('the', 'mock'), 1), (('mock', 'turtle'), 1), (('turtle', 'seplied'), 1), (('seplied', 'in'), 1), (('in', 'an'), 1), (('an', 'o'), 1)])"
2," of
course--""i gave her one, they gave him two--"" why, that must be what he
did with the tarts, you ",1,19,0.95,"(0, [])","(1, ['course--""i'])","dict_items([(('of', 'course--""i'), 1), (('course--""i', 'gave'), 1), (('gave', 'her'), 1), (('her', 'one,'), 1), (('one,', 'they'), 1), (('they', 'gave'), 1), (('gave', 'him'), 1), (('him', 'two--""'), 1), (('two--""', 'why,'), 1), (('why,', 'that'), 1), (('that', 'must'), 1), (('must', 'be'), 1), (('be', 'what'), 1), (('what', 'he'), 1), (('he', 'did'), 1), (('did', 'with'), 1), (('with', 'the'), 1), (('the', 'tarts,'), 1), (('tarts,', 'you'), 1)])"
1002,"know. would not mear the door that iad heard of her the soot of the semeat some of the door, and the pueen say down and said, 'it was the mock turtle sat off, and she was sooe doot of the table, but she said the pueen, 'and when i make mur mose the sememcors of the sea, the march hare with the mort ",0,56,0.88,"(9, ['mear', 'soot', 'mock', 'turtle', 'i', 'mose', 'march', 'hare', 'mort'])","(17, ['mear', 'iad', 'soot', 'semeat', 'pueen', 'mock', 'turtle', 'sooe', 'doot', 'pueen,', 'i', 'mur', 'mose', 'sememcors', 'march', 'hare', 'mort'])","dict_items([(('know.', 'would'), 1), (('would', 'not'), 1), (('not', 'mear'), 1), (('mear', 'the'), 1), (('the', 'door'), 1), (('door', 'that'), 1), (('that', 'iad'), 1), (('iad', 'heard'), 1), (('heard', 'of'), 1), (('of', 'her'), 1), (('her', 'the'), 1), (('the', 'soot'), 1), (('soot', 'of'), 1), (('of', 'the'), 4), (('the', 'semeat'), 1), (('semeat', 'some'), 1), (('some', 'of'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'pueen'), 1), (('pueen', 'say'), 1), (('say', 'down'), 1), (('down', 'and'), 1), (('and', 'said,'), 1), (('said,', ""'it""), 1), ((""'it"", 'was'), 1), (('was', 'the'), 1), (('the', 'mock'), 1), (('mock', 'turtle'), 1), (('turtle', 'sat'), 1), (('sat', 'off,'), 1), (('off,', 'and'), 1), (('and', 'she'), 1), (('she', 'was'), 1), (('was', 'sooe'), 1), (('sooe', 'doot'), 1), (('doot', 'of'), 1), (('the', 'table,'), 1), (('table,', 'but'), 1), (('but', 'she'), 1), (('she', 'said'), 1), (('said', 'the'), 1), (('the', 'pueen,'), 1), (('pueen,', ""'and""), 1), ((""'and"", 'when'), 1), (('when', 'i'), 1), (('i', 'make'), 1), (('make', 'mur'), 1), (('mur', 'mose'), 1), (('mose', 'the'), 1), (('the', 'sememcors'), 1), (('sememcors', 'of'), 1), (('the', 'sea,'), 1), (('sea,', 'the'), 1), (('the', 'march'), 1), (('march', 'hare'), 1), (('hare', 'with'), 1), (('with', 'the'), 1), (('the', 'mort'), 1)])"
3,"tly, she pictured to herself how this same little sister of hers
would, in the after-time, be hersel",1,16,0.89,"(0, [])","(2, ['tly,', 'hersel'])","dict_items([(('tly,', 'she'), 1), (('she', 'pictured'), 1), (('pictured', 'to'), 1), (('to', 'herself'), 1), (('herself', 'how'), 1), (('how', 'this'), 1), (('this', 'same'), 1), (('same', 'little'), 1), (('little', 'sister'), 1), (('sister', 'of'), 1), (('of', 'hers'), 1), (('hers', 'would,'), 1), (('would,', 'in'), 1), (('in', 'the'), 1), (('the', 'after-time,'), 1), (('after-time,', 'be'), 1), (('be', 'hersel'), 1)])"
1003,"f a wiite was seading the danked of the tort of the table, but she said the louse of her hard and then she had got to see the datehn of the sabbit say in the door, and the white rabbit blowered to she had got to see if he had to see if he was the poor little thing was seered and alice sound her ar s",0,61,0.9,"(6, ['f', 'tort', 'louse', 'alice', 'ar', 's'])","(13, ['f', 'wiite', 'seading', 'danked', 'tort', 'louse', 'datehn', 'sabbit', 'blowered', 'seered', 'alice', 'ar', 's'])","dict_items([(('f', 'a'), 1), (('a', 'wiite'), 1), (('wiite', 'was'), 1), (('was', 'seading'), 1), (('seading', 'the'), 1), (('the', 'danked'), 1), (('danked', 'of'), 1), (('of', 'the'), 3), (('the', 'tort'), 1), (('tort', 'of'), 1), (('the', 'table,'), 1), (('table,', 'but'), 1), (('but', 'she'), 1), (('she', 'said'), 1), (('said', 'the'), 1), (('the', 'louse'), 1), (('louse', 'of'), 1), (('of', 'her'), 1), (('her', 'hard'), 1), (('hard', 'and'), 1), (('and', 'then'), 1), (('then', 'she'), 1), (('she', 'had'), 2), (('had', 'got'), 2), (('got', 'to'), 2), (('to', 'see'), 3), (('see', 'the'), 1), (('the', 'datehn'), 1), (('datehn', 'of'), 1), (('the', 'sabbit'), 1), (('sabbit', 'say'), 1), (('say', 'in'), 1), (('in', 'the'), 1), (('the', 'door,'), 1), (('door,', 'and'), 1), (('and', 'the'), 1), (('the', 'white'), 1), (('white', 'rabbit'), 1), (('rabbit', 'blowered'), 1), (('blowered', 'to'), 1), (('to', 'she'), 1), (('see', 'if'), 2), (('if', 'he'), 2), (('he', 'had'), 1), (('had', 'to'), 1), (('he', 'was'), 1), (('was', 'the'), 1), (('the', 'poor'), 1), (('poor', 'little'), 1), (('little', 'thing'), 1), (('thing', 'was'), 1), (('was', 'seered'), 1), (('seered', 'and'), 1), (('and', 'alice'), 1), (('alice', 'sound'), 1), (('sound', 'her'), 1), (('her', 'ar'), 1), (('ar', 's'), 1)])"
4,"rmission.  if you
do not charge anything for copies of this ebook, complying with the
rules is very ",1,16,0.89,"(0, [])","(2, ['rmission.', 'ebook,'])","dict_items([(('rmission.', 'if'), 1), (('if', 'you'), 1), (('you', 'do'), 1), (('do', 'not'), 1), (('not', 'charge'), 1), (('charge', 'anything'), 1), (('anything', 'for'), 1), (('for', 'copies'), 1), (('copies', 'of'), 1), (('of', 'this'), 1), (('this', 'ebook,'), 1), (('ebook,', 'complying'), 1), (('complying', 'with'), 1), (('with', 'the'), 1), (('the', 'rules'), 1), (('rules', 'is'), 1), (('is', 'very'), 1)])"
1004,curlat orooider the project gutenberg literary archive foundation ar so comply with the project gutenberg literary archive foundation are all dopyright in the unrk or project gutenberg-tm electronic works in a refund of the project gutenberg literary archive foundation are nonked and ansapient to pr,0,35,0.78,"(15, ['project', 'literary', 'archive', 'foundation', 'ar', 'project', 'literary', 'archive', 'foundation', 'project', 'project', 'literary', 'archive', 'foundation', 'pr'])","(25, ['curlat', 'orooider', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'ar', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'dopyright', 'unrk', 'project', 'gutenberg-tm', 'project', 'gutenberg', 'literary', 'archive', 'foundation', 'nonked', 'ansapient', 'pr'])","dict_items([(('curlat', 'orooider'), 1), (('orooider', 'the'), 1), (('the', 'project'), 3), (('project', 'gutenberg'), 3), (('gutenberg', 'literary'), 3), (('literary', 'archive'), 3), (('archive', 'foundation'), 3), (('foundation', 'ar'), 1), (('ar', 'so'), 1), (('so', 'comply'), 1), (('comply', 'with'), 1), (('with', 'the'), 1), (('foundation', 'are'), 2), (('are', 'all'), 1), (('all', 'dopyright'), 1), (('dopyright', 'in'), 1), (('in', 'the'), 1), (('the', 'unrk'), 1), (('unrk', 'or'), 1), (('or', 'project'), 1), (('project', 'gutenberg-tm'), 1), (('gutenberg-tm', 'electronic'), 1), (('electronic', 'works'), 1), (('works', 'in'), 1), (('in', 'a'), 1), (('a', 'refund'), 1), (('refund', 'of'), 1), (('of', 'the'), 1), (('are', 'nonked'), 1), (('nonked', 'and'), 1), (('and', 'ansapient'), 1), (('ansapient', 'to'), 1), (('to', 'pr'), 1)])"
